"file","test","passed","failed","errors","skipped","warnings","details"
"test-screen-2026-09-08.R","the zero-snap tolerance is translation-invariant",4,0,0,0,0,""
"test-screen-2026-09-08.R","the zero-snap tolerance scales with the units, as the statistic does",2,0,0,0,0,""
"test-screen-2026-09-08.R","the tolerance is the printed grid's alone, and zero without one",3,0,0,0,0,""
"test-screen-2026-09-08.R","an arbitrary origin no longer decides the p",2,0,0,0,0,""
"test-screen-2026-09-08.R","the fine-precision note stays silent on an ordinary honest row",2,0,0,0,0,""
"test-screen-2026-09-08.R","the fine-precision note still fires where it was adjudicated to",8,0,0,0,0,""
"test-screen-2026-09-08.R","the fine-precision note stays silent on arms that plainly differ",2,0,0,0,0,""
"test-screen-2026-09-08.R","the honest row carries no note end to end",1,0,0,0,0,""
"test-screen-2026-09-08.R","the registry cap keeps the warning rows and drops the ordinary ones",4,0,0,0,0,""
"test-screen-2026-09-08.R","more warning rows than the cap keeps the newest of them",2,0,0,0,0,""
"test-screen-2026-09-08.R","a registry within the cap is returned untouched",1,0,0,0,0,""
"test-screen-2026-09-08.R","no trial or row label can forge another pair's cell key",6,0,0,0,0,""
"test-screen-2026-09-08.R","a row label carrying a carriage return still paints its own cell",1,0,0,0,0,""
